movie_clean,anger,disgust,fear,joy,neutral,sadness,surprise,sentiment_score,dominant_emotion,dominant_strength
Heat,0.009616351180930474,0.014471658652550295,0.00487136574903209,0.289726550249677,0.44106735014601756,0.03442818956988815,0.20581855634717564,0.48289842354623896,neutral,0.44106735014601756
High and Low,0.08738048060331494,0.07385683655156754,0.00990379870927427,0.10270571166183799,0.4351234843954444,0.08124347917037085,0.2097862050519325,0.30167371332645415,neutral,0.4351234843954444
Hotel Rwanda,0.041648480473668315,0.0774822420120472,0.15649645611993038,0.11743331116158515,0.22035522604128346,0.24744729517842642,0.1391369934717659,0.3177978307008743,sadness,0.24744729517842642
How to Train Your Dragon,0.0225843426422216,0.03321106501389295,0.01039313820656389,0.37556714329402896,0.375726041093003,0.06137885577045381,0.1211394133977592,0.2442342609167099,neutral,0.375726041093003
Howl's Moving Castle,0.049249580421019346,0.10123816722480114,0.013152307996642775,0.33370537573937326,0.18195195774314926,0.06688128858804702,0.25382133197854273,0.2939769059419632,joy,0.33370537573937326
Ikiru,0.05803820720757358,0.12537348727055359,0.2010359326552134,0.13800308743084316,0.3057547959382646,0.02244071171153337,0.14935378138616215,-0.1595588356256485,neutral,0.3057547959382646
In the Name of the Father,0.15091003198176622,0.08418529340997338,0.06186365109169856,0.12534987344406545,0.4375930428504944,0.05399603210389614,0.08610206050798297,-0.9027450978755951,neutral,0.4375930428504944
Incendies,0.07507023570942692,0.05854451599589083,0.10995220740442165,0.21614205274381676,0.16494295166339726,0.029274383682059125,0.34607366151176394,0.6037695497274399,surprise,0.34607366151176394
Inception,0.05339844222180545,0.07775476042879745,0.0986882813682314,0.14897025567479433,0.4068641381338239,0.059731014119461176,0.1545931080239825,-0.26223416328430177,neutral,0.4068641381338239
Indiana Jones and the Last Crusade,0.015988670743536205,0.026882771449163557,0.06620575415727217,0.09372606453252956,0.510353675018996,0.08733528699958697,0.19950778339989483,0.43213206231594087,neutral,0.510353675018996
Inglourious Basterds,0.050637139857281,0.1370709689625073,0.14371788082644343,0.22463450741488486,0.18627329766750336,0.020985086634755134,0.23668111180886625,0.41984758973121644,surprise,0.23668111180886625
Inside Out,0.030668496800353752,0.05446820941579063,0.10592385393101722,0.18146594054996967,0.30513991019688547,0.12831621894729323,0.194017370196525,-0.09212999045848846,neutral,0.30513991019688547
Interstellar,0.018784534611040727,0.044450699610752056,0.017518116626888514,0.32243979471968487,0.18551411889493466,0.16768907459918408,0.2436036676983349,0.310757777094841,joy,0.32243979471968487
It's a Wonderful Life,0.009711045969743282,0.02063151892798487,0.008001056491048075,0.433916791214142,0.18614834691397847,0.21224621117580683,0.12934501734562218,0.790654382109642,joy,0.433916791214142
Jai Bhim,0.0422910726047121,0.09765145655837841,0.04060367796337232,0.22528519679326564,0.47394173182547095,0.06994752739556134,0.05027935456018895,0.3239760100841522,neutral,0.47394173182547095
Jaws,0.06548230024054646,0.032191215810598806,0.021803264506161213,0.32595246797427535,0.39601946994662285,0.028822220396250486,0.12972908280789852,0.050943464040756226,neutral,0.39601946994662285
Joker,0.0870371632365277,0.12355672136764043,0.014897966268472373,0.17027291027479804,0.2589992476627231,0.20847479200456293,0.1367612098227255,0.22345541715621947,neutral,0.2589992476627231
Judgment at Nuremberg,0.22220642305910587,0.19096152074635028,0.044446784909814595,0.038075693207792936,0.28183653466403485,0.027799501456320284,0.19467360069975256,-0.9605017900466919,neutral,0.28183653466403485
Jurassic Park,0.01511734796804376,0.0633828196034301,0.1233479677757714,0.23076463519246318,0.2981672110327054,0.041239284773473626,0.2279807258863002,0.798090222477913,neutral,0.2981672110327054
Kill Bill: Vol. 1,0.019498009548988192,0.18682138560106978,0.022732485900633037,0.28845132475253193,0.2111914126202464,0.04471853824215941,0.22658682512119413,0.11638156473636627,joy,0.28845132475253193
Klaus,0.060067148925736544,0.030003576312446968,0.02392800180823542,0.18103226091479882,0.28301705855410547,0.07009852598421276,0.3518534109927714,0.6094088226556778,surprise,0.3518534109927714
L.A. Confidential,0.01780786186767121,0.10735864875217278,0.29189158231019974,0.3472302357355754,0.11963401672740777,0.06425061014791329,0.05182702202970783,0.9857343435287476,joy,0.3472302357355754
La haine,0.03099943709676154,0.02916083457239438,0.07666826632921583,0.28941500433720646,0.2179305428871885,0.09412567453691736,0.26170022548176347,0.8985297948122024,joy,0.28941500433720646
Lawrence of Arabia,0.08341902180109173,0.07269023278495297,0.0440004747826606,0.1328395188320428,0.5273751474916935,0.036814326769672334,0.10286127843428403,-0.4839151561260223,neutral,0.5273751474916935
Life Is Beautiful,0.02791609555715695,0.006627917518198956,0.005232956424879376,0.5331388982012868,0.11671985674183816,0.08745928280986845,0.2229050080757588,0.8900193840265274,joy,0.5331388982012868
Like Stars on Earth,0.040059254484367555,0.051003360847244036,0.1138359446224058,0.38915914871613494,0.14895044164150023,0.19307760405354202,0.06391422737506218,0.7961928993463516,joy,0.38915914871613494
"Lock, Stock and Two Smoking Barrels",0.029067806569704164,0.013966821628855541,0.006669721410920222,0.42917212498529506,0.30461027488733333,0.025031470227986574,0.19148179958574474,0.3323982208967209,joy,0.42917212498529506
Logan,0.03240924055280629,0.023753781701088883,0.004929473690572195,0.24893329583574086,0.16582940688822417,0.3270319445175119,0.1971128511475399,0.21510969400405883,sadness,0.3270319445175119
Léon: The Professional,0.022392970754299312,0.060160501752397975,0.006156917347107082,0.46677304356708194,0.23614614407997578,0.034885044780094174,0.17348539951490238,0.7985897183418273,joy,0.46677304356708194
M,0.10165611530343692,0.07626025518402457,0.12326921429485083,0.2739848035077254,0.3124386246005694,0.022104088217020035,0.09028685341278712,-0.4003895123799642,neutral,0.3124386246005694
Mad Max: Fury Road,0.02924494059989229,0.05911379930912517,0.006069695093901828,0.18720190485473723,0.48546153916977347,0.07246424506884068,0.16044386778958142,0.31535981595516205,neutral,0.48546153916977347
Maharaja,0.07976419597980566,0.11484183306165505,0.08887655368307605,0.2545382188865915,0.28591771342325956,0.027489988971501587,0.14857151639444055,-0.21178150177001953,neutral,0.28591771342325956
Mary and Max,0.013892365802894347,0.020535453327465803,0.10013717069086851,0.23936258563771845,0.185577225824818,0.3141998969775159,0.12629529883852228,0.7865447759628296,sadness,0.3141998969775159
Memento,0.006535870488733053,0.000762867508456111,0.022298580035567284,0.9173542261123657,0.033865395933389664,0.004336879123002291,0.014846248552203178,0.9983590245246887,joy,0.9173542261123657
Memories of Murder,0.047647552366834135,0.06608883528388106,0.2311782511882484,0.1374917768582236,0.3065307251177728,0.09721397792454808,0.11384888165048324,0.10500885546207428,neutral,0.3065307251177728
Metropolis,0.006043881177902222,0.0019254526123404503,0.0037919762544333935,0.21587148681282997,0.5602182596921921,0.011373211164027452,0.20077572762966156,0.005998700857162476,neutral,0.5602182596921921
Million Dollar Baby,0.007793540833517909,0.0034291816991753876,0.0011837981583084911,0.5170240551233292,0.315297843888402,0.02109286980703473,0.13417877070605755,0.9995786547660828,joy,0.5170240551233292
Modern Times,0.04786588695133105,0.04609654623491224,0.0507274799485458,0.44519306826405225,0.1716492018662393,0.08589150414336473,0.15257628203835338,0.6003370642662048,joy,0.44519306826405225
Monty Python and the Holy Grail,0.031747197887549795,0.11406503633932313,0.021283725386537198,0.2385929309659534,0.3583890288654301,0.022041389666911628,0.21388070218058097,0.3218406107690599,neutral,0.3583890288654301
Mr. Smith Goes to Washington,0.02657658690586686,0.06004236101871356,0.0278591171518201,0.3430680214310996,0.23580609834752977,0.035375068208668384,0.2712727589532733,0.8031500190496444,joy,0.3430680214310996
My Father and My Son,0.07164336207788438,0.13752887406153605,0.017996866087196396,0.109577801724663,0.48551217700587584,0.033649810566566886,0.14409110928827432,-0.059148794412612914,neutral,0.48551217700587584
My Neighbor Totoro,0.02880888704676181,0.024542779970215634,0.013123368087690324,0.2848911738023162,0.41124642107170073,0.01498997446615249,0.22239740584045647,0.1126407265663147,neutral,0.41124642107170073
Network,0.08700328775116109,0.017978416988626122,0.1057103379446614,0.17258020367340318,0.4159645500143857,0.01835430907418153,0.18240890012488567,0.15058181967054093,neutral,0.4159645500143857
No Country for Old Men,0.03266535367001779,0.11233202447474469,0.07326723354490242,0.2552764869877137,0.2816508057527244,0.08781718024401926,0.1569909091864247,0.4680765628814697,neutral,0.2816508057527244
North by Northwest,0.009153539314866066,0.008356884121894836,0.0228591188788414,0.007981548085808754,0.8498599529266357,0.029586052522063255,0.07220299541950226,0.8200090527534485,neutral,0.8498599529266357
Oldboy,0.04937170790217351,0.04227915369410766,0.05158426037523896,0.4532324343919754,0.24407041305676103,0.01814749025506899,0.1413145361817442,0.8138362497091294,joy,0.4532324343919754
On the Waterfront,0.16926917179953307,0.06553453293454367,0.013955086216446944,0.31383951159077694,0.21665618529077618,0.014115602319361643,0.20662990721757524,0.40844903886318207,joy,0.31383951159077694
Once Upon a Time in America,0.0434471954125911,0.028588361240690575,0.0076124109822558236,0.4003561589517631,0.2662916631903499,0.064444492245093,0.18925970019772648,0.7233762472867966,joy,0.4003561589517631
Once Upon a Time in the West,0.057226549414917824,0.13354107306804508,0.04717395732877776,0.2763421810581349,0.209643636806868,0.13549424365046434,0.14057836327701806,0.39631796777248385,joy,0.2763421810581349
One Battle After Another,0.07054326250217854,0.07010604167589918,0.04037180475424975,0.20817749997368082,0.36626810375601054,0.014435255713760854,0.23009804337052628,0.20707838833332062,neutral,0.36626810375601054
One Flew Over the Cuckoo's Nest,0.029114846140146255,0.11257128417491913,0.17339366674423218,0.22637403011322021,0.12025485932826996,0.03084462881088257,0.3074466288089752,0.999824583530426,surprise,0.3074466288089752
Oppenheimer,0.06049648701446131,0.038648545031901446,0.05796307495329529,0.24878917598398403,0.3444903460331261,0.0578522990224883,0.19176007884088903,0.49122306108474734,neutral,0.3444903460331261
Pan's Labyrinth,0.06752087565837428,0.03605112591176294,0.06826540603215107,0.3627094700234011,0.14125293742399664,0.13305899290717207,0.19114120508311316,0.7987873077392578,joy,0.3627094700234011
Parasite,0.021178081491962077,0.027478625299409032,0.022912606061436237,0.15363593837246298,0.4845001921057701,0.0260803097859025,0.26421423414722084,-0.19038666486740113,neutral,0.4845001921057701
Paths of Glory,0.03904806609498337,0.04534122845507227,0.047630273140384816,0.39362367319408803,0.2886584899853915,0.04447950116591528,0.14121878107544034,0.8912911891937256,joy,0.39362367319408803
Pirates of the Caribbean: The Curse of the Black Pearl,0.06771008782088757,0.01052473119343631,0.06135208470805083,0.26082477704621854,0.37425355007871985,0.025440743775106966,0.1498940165853128,0.33636355102062226,neutral,0.37425355007871985
Platoon,0.033741634571924806,0.016145921224961057,0.017483221367001534,0.4828723073005676,0.4248114079236984,0.00587234937120229,0.019073204370215535,0.09642502665519714,joy,0.4828723073005676
Princess Mononoke,0.02015640966128558,0.011449534026905895,0.011175347628886811,0.5778206613846123,0.18975156382657588,0.031529166613472624,0.15811732558067887,0.9670425742864609,joy,0.5778206613846123
Prisoners,0.021933436393737793,0.039336103945970535,0.017091432586312294,0.011595917865633965,0.06552396714687347,0.058320045471191406,0.786199152469635,-0.5358571410179138,surprise,0.786199152469635
Psycho,0.05293768332630862,0.07417244099779055,0.024536223834729753,0.32004255859646946,0.3437205527443439,0.0788350647490006,0.10575548531487584,0.40025854110717773,neutral,0.3437205527443439
Pulp Fiction,0.0066968880128115416,0.0149431680329144,0.005311628454364836,0.10117912478744984,0.7157862484455109,0.07149255275726318,0.08459041453897953,0.9997459053993225,neutral,0.7157862484455109
Raging Bull,0.0960860844468698,0.08499245053390041,0.11101979233790189,0.25714140888303516,0.21707611670717597,0.07295942349592224,0.16072471402585506,0.697788268327713,joy,0.25714140888303516
Raiders of the Lost Ark,0.029936392433368243,0.016577932714986112,0.020396306195135157,0.4452920340073223,0.3497110499570576,0.03179974796680304,0.10628653031129104,0.5397358995217544,joy,0.4452920340073223
Ran,0.05609183914493769,0.054220518164220265,0.008152805409918074,0.2542339748237282,0.22523041879758238,0.022367073129862546,0.37970337718725206,0.6002934336662292,surprise,0.37970337718725206
Rashomon,0.027865507046226413,0.05094936178647913,0.11289532959344797,0.28115473614889197,0.18766413759440184,0.06371750745456665,0.2757534074946307,0.6041177779436111,joy,0.28115473614889197
Ratatouille,0.041572761966381225,0.06863324856385589,0.04747786607185844,0.10723516541766002,0.4733276180922985,0.02859259049873799,0.23316075364127756,-0.6774946123361587,neutral,0.4733276180922985
Rear Window,0.011308013723464683,0.010314179213310126,0.21880597699055215,0.17486365005606785,0.4398644260072615,0.03481964299862739,0.11002412918605842,0.4684501849114895,neutral,0.4398644260072615
Requiem for a Dream,0.05222409489538728,0.1981114357089003,0.08723548489312331,0.16746455159348747,0.3253701694775373,0.06738608975946489,0.1022081867688232,-0.4127585192521413,neutral,0.3253701694775373
Reservoir Dogs,0.03353516316274181,0.03229472327511758,0.007529029613942839,0.3148915912839584,0.2685782311484218,0.18732299872208386,0.1558482905384153,0.49031811356544497,joy,0.3148915912839584
Rocky,0.0544746001005957,0.11123706552959782,0.03118033036221995,0.3412043095909451,0.2529105099506284,0.048411836320730414,0.16058135514245614,0.302311006345247,joy,0.3412043095909451
Room,0.08281320176902227,0.021997630615078378,0.022069541440578176,0.38925862368778325,0.17901510887313635,0.04295189814874902,0.2618940086336806,0.5036852329969406,joy,0.38925862368778325
Rush,0.07564187461393886,0.06327182568493299,0.05477715180022642,0.1348721620743163,0.3773003537207842,0.10498228216310963,0.1891543480567634,0.1972957044839859,neutral,0.3773003537207842
Saving Private Ryan,0.09035043740732362,0.02678589771676343,0.08530464128125459,0.4440575411426835,0.21776715095620602,0.020661689435655717,0.11507263639941812,0.5764249190688133,joy,0.4440575411426835
