movie_clean,anger,disgust,fear,joy,neutral,sadness,surprise,sentiment_score,avg_user_rating,dominant_emotion,dominant_strength
Chinatown,0.07940335421822965,0.0948963955976069,0.1754989412939176,0.1768003297643736,0.34982614947482943,0.08881154504604638,0.034763278011232614,0.6639991044998169,8.391304347826088,neutral,0.34982614947482943
Cinema Paradiso,0.009214658529963345,0.05818631080444902,0.014729710025712849,0.38016751769930124,0.2745806988328695,0.15499447538051755,0.10812661594711244,0.5962637281417846,8.652173913043478,joy,0.38016751769930124
Citizen Kane,0.062263987706974146,0.10240596753545106,0.04274111340753734,0.13733843224588782,0.47269569024443625,0.02801301281899214,0.1545417775399983,0.4298516654968262,8.521739130434783,neutral,0.47269569024443625
City Lights,0.04563887395430356,0.11968550713732838,0.06948772182222455,0.23979310322552919,0.337983478680253,0.1415981672797352,0.045813150024041537,0.6459280347824097,8.521739130434783,neutral,0.337983478680253
City of God,0.07795044566349436,0.14619236526777968,0.08372365016839467,0.19372013898100704,0.33745837442499277,0.02234221166872885,0.13861281075514853,0.6536799073219299,9.136363636363637,neutral,0.33745837442499277
Coco,0.04829601045232266,0.043602205952629446,0.031680286139016973,0.3788644803036004,0.22023297749459744,0.1369578491570428,0.1403661970142275,0.764296350479126,8.782608695652174,joy,0.3788644803036004
Come and See,0.05965217756107449,0.3158766528405249,0.2340596623159945,0.020899353714194147,0.1117414097674191,0.1822403266094625,0.0755304038990289,0.08174890518188477,8.772727272727273,disgust,0.3158766528405249
Dangal,0.024373816498555242,0.08352334953844548,0.06048289157217369,0.28089160431874916,0.3240980893280357,0.043180952365510165,0.18344929473474622,0.7412065815925598,8.608695652173912,neutral,0.3240980893280357
Das Boot,0.058234526133164766,0.13978180010337382,0.22759781745262445,0.11026450958102942,0.3555906841531396,0.08687809193506837,0.021652570432052015,0.5927501034736633,8.73913043478261,neutral,0.3555906841531396
Dead Poets Society,0.025385973697993905,0.08591623433865607,0.023192598572932183,0.2647141292132437,0.3418152049183846,0.19865632569417357,0.060319525077939036,0.534151599407196,8.565217391304348,neutral,0.3418152049183846
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,0.019406571076251565,0.05548944169189781,0.03220218017231673,0.35862835908308627,0.1947039494663477,0.15588991375640035,0.18367958437651397,0.6729558062553406,8.695652173913043,joy,0.35862835908308627
Demon Slayer: Kimetsu no Yaiba- The Movie - Infinity Castle,0.028458122280426323,0.07549640351673588,0.16582344751339406,0.26389167689718307,0.2511281128972769,0.1288373122503981,0.08636491928249597,0.6632887053489686,8.666666666666666,joy,0.26389167689718307
Dial M for Murder,0.06455287338234485,0.06087073033675552,0.16362704628612845,0.1452648944966495,0.4208852295950055,0.06521288738586009,0.07958634289912879,0.46296349763870237,8.25,neutral,0.4208852295950055
